date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:27	29110/29110	---MC-	200	added ('OK')	application/javascript	date:Mon,%2015%20Oct%202018%2009:11:31%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/t/3/assets/bootstrap.min.js?8604530667016742802	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/t/3/assets/bootstrap.min8a0b.js	(from https://furni-demo.myshopify.com/)
15:23:29	11701/11701	---M--	200	added ('OK')	image/gif	date:Sun,%2028%20Oct%202018%2007:23:28%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/t/3/assets/loading.gif?8604530667016742802	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/t/3/assets/loading8a0b.gif	(from https://furni-demo.myshopify.com/)
15:23:30	92792/92792	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	C:/Users/koo_c/Desktop/hello/etrend/ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	(from https://furni-demo.myshopify.com/)
15:23:30	96026/96026	---MCZ	200	added ('OK')	text/html	etag:cacheable:b595a90c34dfc533b73fbe670c46e608	https://furni-demo.myshopify.com/pages/wishlist	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/pages/wishlist.html	(from https://furni-demo.myshopify.com/)
15:23:32	197416/197416	---MC-	200	added ('OK')	application/javascript	date:Thu,%2025%20Oct%202018%2018:30:19%20GMT	http://cdn.shopify.com/s/assets/storefront/express_buttons-7e3beee5b06ba6eaac6750eebd2c599ec66a231cbf412fbd80defaf286cdf494.js	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/assets/storefront/express_buttons-7e3beee5b06ba6eaac6750eebd2c599ec66a231cbf412fbd80defaf286cdf494.js	(from https://furni-demo.myshopify.com/)
15:23:32	150/150	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Oct%202018%2007:23:32%20GMT	https://furni-demo.myshopify.com/checkout	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/checkout.13.delayed	(from https://furni-demo.myshopify.com/)
15:23:33	103/103	---MC-	302	error ('Found')	text/html	date:Sun,%2028%20Oct%202018%2007:23:34%20GMT	https://furni-demo.myshopify.com/25881650/checkouts/e36a1a773f3277792cfa48bde98990a0	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/25881650/checkouts/e36a1a773f3277792cfa48bde98990a0	(from https://furni-demo.myshopify.com/)
15:23:33	81054/81054	---MCZ	200	added ('OK')	text/html	etag:cacheable:3635313fa5991b37a2c4e4f4d6a0c779	https://furni-demo.myshopify.com/cart	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/cart.html	(from https://furni-demo.myshopify.com/)
15:23:35	2680/2680	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Oct%202018%2007:23:35%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/t/3/assets/icon-megamenu.png?8604530667016742802	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/t/3/assets/icon-megamenu8a0b.png	(from https://furni-demo.myshopify.com/)
15:23:35	83248/83248	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Oct%202018%2007:23:35%20GMT	https://furni-demo.myshopify.com/account/login	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/account/login.html	(from https://furni-demo.myshopify.com/)
15:23:36	138609/138609	---MCZ	200	added ('OK')	text/html	etag:cacheable:d1ffd674ab802a1e98984507011a2fdb	https://furni-demo.myshopify.com/collections/all	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/collections/all.html	(from https://furni-demo.myshopify.com/)
15:23:36	117231/117231	---MCZ	200	added ('OK')	text/html	etag:cacheable:a1325bf01556b886c008d5759d2372ef	https://furni-demo.myshopify.com/products/amet-kalrfort	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/amet-kalrfort.html	(from https://furni-demo.myshopify.com/)
15:23:37	114917/114917	---MCZ	200	added ('OK')	text/html	etag:cacheable:2c1f7719a787c2fdced6cc3563d318b3	https://furni-demo.myshopify.com/products/ladder-roswell-solid-wood-table	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/ladder-roswell-solid-wood-table.html	(from https://furni-demo.myshopify.com/)
15:23:38	121327/121327	---MCZ	200	added ('OK')	text/html	etag:cacheable:e20cedf16b03bc76c919a5df13a62b32	https://furni-demo.myshopify.com/products/hetal-enterprises-leatherette-office-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/hetal-enterprises-leatherette-office-chair.html	(from https://furni-demo.myshopify.com/)
15:23:38	105385/105385	---MCZ	200	added ('OK')	text/html	etag:cacheable:cec1cd24d11dafa14e3b117b3f8c4018	https://furni-demo.myshopify.com/products/woodstock-office-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/woodstock-office-chair.html	(from https://furni-demo.myshopify.com/)
15:23:39	111958/111958	---MCZ	200	added ('OK')	text/html	etag:cacheable:342825a7e7360ad2da688418ca84b424	https://furni-demo.myshopify.com/products/leatherette-office-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/leatherette-office-chair.html	(from https://furni-demo.myshopify.com/)
15:23:39	82536/82536	---MCZ	200	added ('OK')	text/html	etag:cacheable:48bfd5f49fcf22fe2757341ae165817d	https://furni-demo.myshopify.com/collections	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/collections.html	(from https://furni-demo.myshopify.com/)
15:23:40	100320/100320	---MCZ	200	added ('OK')	text/html	etag:cacheable:e2e822a0a109af3edf8badd2b20093e0	https://furni-demo.myshopify.com/products/voluptate-lit	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/voluptate-lit.html	(from https://furni-demo.myshopify.com/)
15:23:40	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/galaxy-shorts	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/galaxy-shorts	(from https://furni-demo.myshopify.com/)
15:23:41	119595/119595	---MCZ	200	added ('OK')	text/html	etag:cacheable:7fcb35fdea5c5baa149255d11d9d9011	https://furni-demo.myshopify.com/products/fuastick-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/fuastick-chair.html	(from https://furni-demo.myshopify.com/)
15:23:41	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/tempor-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/tempor-chair	(from https://furni-demo.myshopify.com/)
15:23:41	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/woodstock-india-leatherette-office-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/woodstock-india-leatherette-office-chair	(from https://furni-demo.myshopify.com/)
15:23:42	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/urban-ladder-venturi-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/urban-ladder-venturi-chair	(from https://furni-demo.myshopify.com/)
15:23:42	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/regentseating-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/regentseating-chair	(from https://furni-demo.myshopify.com/)
15:23:42	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225923696a-60a%22	https://furni-demo.myshopify.com/products/mavi-vinyl-study-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/mavi-vinyl-study-chair	(from https://furni-demo.myshopify.com/)
15:23:43	10779/10779	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Oct%202018%2007:23:44%20GMT	http://cdn.shopify.com/s/files/1/2588/1650/files/dropdown_4_menu_image_3_2000x.jpg?v=1539604589	C:/Users/koo_c/Desktop/hello/etrend/cdn.shopify.com/s/files/1/2588/1650/files/dropdown_4_menu_image_3_2000xcb93.jpg	(from https://furni-demo.myshopify.com/)
15:23:44	117233/117233	---MCZ	200	added ('OK')	text/html	etag:cacheable:856e656695399a963ca14fca8bbcaf90	https://furni-demo.myshopify.com/products/interior-leatherette-chair	C:/Users/koo_c/Desktop/hello/etrend/furni-demo.myshopify.com/products/interior-leatherette-chair.html	(from https://furni-demo.myshopify.com/)
